00h09.0m	+59d08m
00h13.1m	+15d10m
00h25.4m	-77d17m
00h26.2m	-42d20m
00h39.2m	+30d50m
00h40.3m	+56d31m
00h43.5m	-18d01m
00h49.0m	+57d48m
00h56.6m	+60d42m
01h05.9m	-46d44m
01h08.5m	-10d12m
01h09.5m	+35d36m
01h25.6m	+60d13m
01h28.3m	-43d20m
01h37.5m	-57d15m
01h44.0m	-15d58m
01h52.9m	+29d34m
01h54.1m	+63d39m
01h54.5m	+20d47m
01h58.7m	-61d36m
02h03.7m	+42d19m
02h07.0m	+23d27m
02h09.4m	+34d58m
02h19.2m	-3d01m
02h27.9m	+89d15m
02h43.2m	+3d14m
02h58.1m	-40d20m
03h02.1m	+4d04m
03h04.5m	+53d29m
03h05.0m	+38d49m
03h08.0m	+40d56m
03h24.1m	+49d50m
03h42.7m	+47d46m
03h43.1m	-9d47m
03h47.4m	+24d05m
03h47.3m	-74d15m
03h54.0m	+31d52m
03h57.6m	+40d00m
03h57.9m	-13d31m
04h00.5m	+12d29m
04h14.4m	-62d29m
04h28.4m	+15d52m
04h28.6m	+19d10m
04h33.9m	-55d03m
04h35.7m	+16d30m
04h49.7m	+6d58m
04h56.8m	+33d10m
05h01.7m	+43d50m
05h05.3m	-22d23m
05h06.3m	+41d13m
05h07.7m	-5d06m
05h12.8m	-16d13m
05h14.7m	-8d13m
05h16.4m	+45d59m
05h24.3m	-2d24m
05h25.0m	+6d20m
05h26.2m	+28d36m
05h28.2m	-20d46m
05h31.9m	-0d18m
05h32.7m	-17d50m
05h33.6m	-62d30m
05h35.0m	+9d56m
05h35.3m	-5d55m
05h36.1m	-1d12m
05h37.5m	+21d08m
05h39.5m	-34d05m
05h40.6m	-1d57m
05h46.9m	-14d50m
05h47.7m	-9d40m
05h50.8m	-35d46m
05h55.0m	+7d24m
05h59.3m	+44d57m
05h59.5m	+37d13m
06h14.7m	+22d31m
06h20.1m	-30d03m
06h22.6m	-17d57m
06h22.8m	+22d31m
06h23.8m	-52d41m
06h37.5m	+16d25m
06h37.6m	-43d11m
06h43.8m	+25d09m
06h45.1m	+12d54m
06h45.1m	-16d42m
06h48.3m	-61d56m
06h49.8m	-50d36m
06h58.4m	-28d58m
07h01.5m	-27d56m
07h03.0m	-23d50m
07h08.2m	-26d24m
07h13.4m	-44d38m
07h17.0m	-37d06m
07h20.0m	+21d59m
07h23.9m	-29d18m
07h27.0m	+8d18m
07h29.1m	-43d18m
07h34.4m	+31d54m
07h34.5m	+31d54m
07h39.2m	+5d14m
07h45.2m	+28d02m
07h49.3m	-24d51m
07h56.7m	-52d58m
08h03.4m	-39d59m
08h07.5m	-24d17m
08h09.4m	-47d19m
08h16.3m	+9d12m
08h22.4m	-59d30m
08h30.0m	+60d44m
08h44.6m	-54d41m
08h46.6m	+6d26m
08h55.2m	+5d58m
08h59.0m	+48d04m
09h07.8m	-43d24m
09h10.9m	-58d56m
09h13.2m	-69d41m
09h17.0m	-59d16m
09h20.9m	+34d24m
09h22.0m	-55d00m
09h27.5m	-8d39m
09h31.0m	-57d01m
09h32.7m	+51d42m
09h41.0m	+9d54m
09h45.2m	-62d30m
09h45.7m	+23d47m
09h46.9m	-65d03m
09h56.7m	-54d33m
10h07.2m	+16d47m
10h08.2m	+12d00m
10h13.6m	-70d01m
10h16.5m	+23d26m
10h17.0m	+42d56m
10h16.9m	-61d19m
10h19.8m	+19d52m
10h19.8m	+19d52m
10h22.2m	+41d31m
10h31.8m	-61d40m
10h42.8m	-64d22m
10h46.7m	-49d24m
10h49.5m	-16d10m
11h01.7m	+56d24m
11h03.6m	+61d46m
11h09.5m	+44d31m
11h14.0m	+20d33m
11h14.0m	+15d27m
11h18.3m	+33d07m
11h32.9m	-31d50m
11h35.7m	-63d00m
11h48.9m	+14d36m
11h53.7m	+53d43m
12h08.2m	-50d42m
12h10.0m	-22d36m
12h15.0m	-58d43m
12h15.3m	+57d03m
12h15.7m	-17d31m
12h26.4m	-63d04m
12h26.4m	-63d04m
12h29.7m	-16d29m
12h31.0m	-57d05m
12h34.2m	-23d22m
12h37.0m	-69d07m
12h41.3m	-48d56m
12h41.3m	-48d56m
12h41.5m	-1d26m
12h46.1m	-68d05m
12h47.6m	-59d40m
12h54.0m	+56d00m
12h55.4m	+3d25m
12h55.9m	+38d20m
13h02.1m	+10d59m
13h18.7m	-23d09m
13h20.4m	-36d41m
